,Id,CreatedDate,Description,NumberOfEmployees,Name,OwnerId,BillingAddress,BillingCity,BillingCountry,BillingCountryCode,BillingLatitude,BillingLongitude
0,0056T000000ZHRBqaE,2024-11-04 23:36:47.000,ipso lorum,2554,BrightSpark Strategies,0056T000000ZuRDqaA,USS Butler FPO AE 90376,FPO AE 90376,United States,US,-17.436991,-81.817958
1,0056T000000ZZnbqag,2024-11-05 05:29:54.000,ipso lorum,2348,AdVenture Media,0056T000000ZvsKqas,"50372 Herrera Flats Port Michaelchester, FL 70705",Port Michaelchester,United States,US,27.073561,125.855163
2,0056T000000ZiaXqas,2024-11-04 07:09:26.000,ipso lorum,1943,Innovate Marketing Partners,0056T000000ZguIqas,"6449 Kiara Pines Suite 589 South Toniside, TN 12216",South Toniside,United States,US,-76.286469,-34.073929
3,0056T000000ZhDYqaA,2024-10-29 06:25:41.000,ipso lorum,2899,Creative Pulse Agency,0056T000000ZCvxqag,"4227 Anderson Inlet Lake Cody, NJ 59375",Lake Cody,United States,US,84.6820685,150.105355
4,0056T000000Zfmcqac,2024-10-30 07:44:21.000,ipso lorum,4072,Google,0056T000000Zqccqac,"841 Johnson Tunnel Apt. 042 Frankport, DE 05131",Frankport,United States,US,16.603558,-142.677922
5,0056T000000ZogFqas,2024-11-04 20:00:21.000,ipso lorum,8099,Google,0056T000000ZCvxqag,"48561 Flynn Street Moorehaven, MT 07530",Moorehaven,United States,US,-88.866251,124.799042
6,0056T000000ZnJKqaA,2024-10-26 18:41:10.000,ipso lorum,6289,Synergy Branding Agency,0056T000000ZPNYqaE,"PSC 9041, Box 5890 APO AA 75460",APO AA 75460,United States,US,89.677921,-29.992031
7,0056T000000ZCPoqao,2024-11-04 09:35:19.000,ipso lorum,7625,Vivid Vision Media,0056T000000ZuRDqaA,"451 Moyer Ranch West Dana, CA 24070",West Dana,United States,US,-71.1209555,-87.600394
8,0056T000000ZzIAqaA,2024-11-04 01:15:27.000,ipso lorum,8272,Synergy Branding Agency,0056T000000ZCvxqag,"69655 Joseph River Apt. 702 West Anthonymouth, AS 98595",West Anthonymouth,United States,US,-27.751453,-124.261307
9,0056T000000ZUmLqaw,2024-11-04 17:08:05.000,ipso lorum,3744,PulsePoint Marketing,0056T000000ZqAQqaA,"0927 Justin Loop Apt. 985 South Gabrielle, DE 70028",South Gabrielle,United States,US,75.8052015,150.828242
10,0056T000000ZWkAqaw,2024-11-04 07:57:33.000,ipso lorum,3467,Pixel Perfect Marketing,0056T000000ZPNYqaE,"0679 Valerie Locks Apt. 519 Wendyfort, MI 82876",Wendyfort,United States,US,-27.6928805,71.426027
